Cage Barcode,Cage Function,Cage Type,Colony,Project Licence,Number Of Animals (175),Last Validated,Room,Condition,time,Cleaned,sexed,weaned,comments
C00635613,Stock,Standard Cage,LLAB,Li PP4103600 (LL),1,Never,7,0,00:16,0,0,0,
C00642673,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),7,Never,7,0,00:39,1,1,0,
C00642674,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),8,Never,7,0,00:37,1,1,0,
C00665013,Mating,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:20,0,0,0,
C00640997,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:14,0,0,0,
C00645363,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:16,0,0,0,
C00660762,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),2,Never,7,0,00:26,1,0,0,
C00662918,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),1,Never,7,0,00:30,1,0,0,
C00667794,Stock,Standard Cage,LLAJ,Li PP4103600 (LL),5,Never,7,0,00:40,1,0,0,
C00670475,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:19,0,0,0,
C00659191,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:33,1,0,0,
C00660763,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:32,1,0,0,
C00660765,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:36,1,0,0,
C00660766,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:30,1,0,0,
C00660767,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:29,0,0,0,
C00664576,Stock,Standard Cage,LLAK,Li PP4103600 (LL),5,Never,7,0,00:38,1,0,0,
C00665652,Stock,Standard Cage,LLAK,Li PP4103600 (LL),3,Never,7,0,00:17,0,0,0,
C00671678,Mating,Standard Cage,LLAL,Li PP4103600 (LL),8,Never,7,0,00:31,1,1,0,
C00671658,Stock,Standard Cage,NTAM,Tapon PP1228499 (NT),4,Never,7,1,00:56,1,0,0,tunnel dirty
C00597915,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),1,Never,7,1,00:14,0,0,0,
C00646937,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),5,Never,7,1,00:30,0,0,0,
C00660730,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),3,Never,7,1,00:19,0,0,0,
C00664593,Stock,Standard Cage,NTBH,Tapon PP1228499 (NT),5,Never,7,1,00:57,1,0,0,
C00648261,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),8,Never,7,1,02:26,1,0,1,"Litter very jumpy, not going in tunnel"
C00651405,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),15,Never,7,1,01:00,1,1,0,
C00667608,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),15,Never,7,1,01:20,1,0,0,
C00667609,Mating,Standard Cage,NTBJ,Tapon PP1228499 (NT),8,Never,7,1,01:17,1,0,0,
C00664585,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),3,Never,7,1,00:16,0,0,0,
C00665640,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),4,Never,7,1,00:22,0,0,0,
C00670459,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),4,Never,7,1,,0,0,0,
C00648402,Mating,Standard Cage,NTBK,Tapon PP1228499 (NT),7,Never,7,1,00:46,1,0,0,
c00655285,Mating,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:46,1,0,0,
C00643644,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),2,Never,7,1,00:30,0,0,0,
C00665647,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),1,Never,7,1,00:18,0,0,0,
C00665648,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),5,Never,7,1,00:37,0,0,0,
C00667775,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),4,Never,7,1,00:28,0,0,0,wiped balcony
C00667776,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:15,0,0,0,
C00670473,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),2,Never,7,1,00:19,0,0,0,
C00670474,Stock,Standard Cage,NTBK,Tapon PP1228499 (NT),3,Never,7,1,00:22,0,0,0,
C00670459,Stock,Standard Cage,NTBJ,Tapon PP1228499 (NT),4,Never,7,1,00:30,1,0,0,
